"","Name","Age","Gender","Occupation","Income","Education"
"83","Peter Smith",30.4123292199294,"Female","Accountant",63919.7779781992,"Doctorate"
"84","Sarah Jones",25.7750316766038,"Female","Lawyer",175960.885569409,"Doctorate"
"85","Jane Doe",9.46752778459484,"Female","Software Engineer",118869.398651196,"Doctorate"
"86","Jane Doe",41.3133721341418,"Female","Lawyer",-2611.14102168649,"Master's Degree"
"87","Peter Smith",15.3935992907518,"Female","Accountant",31798.1273958812,"Doctorate"
"88","Peter Smith",37.3994751087733,"Female","Software Engineer",89960.949220544,"Master's Degree"
"89","Sarah Jones",49.0910356921748,"Female","Lawyer",143288.970216724,"Doctorate"
"90","John Doe",15.561068390282,"Male","Lawyer",94905.8372142389,"Master's Degree"
"91","Jane Doe",37.0178433537471,"Female","Software Engineer",131209.373601033,"Bachelor's Degree"
"92","Jane Doe",27.3780251059753,"Male","Lawyer",147950.268889391,"Bachelor's Degree"
"93","John Doe",14.2785584085451,"Male","Software Engineer",183552.741443147,"Doctorate"
"94","Jane Doe",14.8533234621825,"Male","Lawyer",102800.836663748,"Bachelor's Degree"
"95","Sarah Jones",13.9846382642541,"Male","Accountant",97400.904690955,"Master's Degree"
"96","John Doe",24.690934778297,"Male","Accountant",12338.1320428865,"Bachelor's Degree"
"97","John Doe",15.382444150041,"Male","Lawyer",104966.379704391,"Master's Degree"
"98","Jane Doe",36.8791677297583,"Male","Doctor",71407.4971052218,"Master's Degree"
"99","Peter Smith",51.0010894052567,"Female","Doctor",51299.5208597954,"Bachelor's Degree"
"100","Peter Smith",17.1296952396482,"Female","Software Engineer",91004.688447623,"Bachelor's Degree"
